problem,reasoning,program,error
Prove that there exists an integer x such that x^2 + 4x - 7 = 0 and x is even,"To prove this, we can use the QF_UF rules to find a model for the equation x^2 + 4x - 7 = 0. We can then analyze the models to determine which ones satisfy the condition that x is even.",quantifier all\n\n\nset-logic QF_UF\n\ndeclare-const x : integer\n\nassert (x^2 + 4x - 7) = 0\n\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,Use QF_UF to prove that there is exactly one way to route a train through three switches.,(set-logic QF_UF\n  (declare-const switch1 int\n   switch2 int\n   switch3 int)\n  (assert (not (switch1 = 0))\n   (assert (switch2 = 0))\n   (assert (switch3 = 0)))\n  (check-sat),Unbalanced parentheses
A cat and a mouse are in two different rooms.,They must be present in their respective rooms.,(set-logic QF_UF\n  (declare-const ROOM1 int\n    (x : integer)\n  (y : integer)\n  (z : integer))\n  (declare-const ROOM2 int\n    (x : integer)\n    (y : integer)\n    (z : integer))\n  (assert (and (room1 = x) (not (room2 = x)))\n       (room1 = y) (not (room2 = y)))\n  (assert (and (room1 = z) (not (room2 = z)))\n       (room1 = y) (not (room2 = y)))\n  (check-sat),Unbalanced parentheses
(set-logic QF_UF (declare-const x 1 x < 5) (declare-const y 2 y = x + 3) assert (>= y 4),"To prove that the assertion is true, we can use a model with x >= 0 and y > 0.",α\n\ndefine model /\n  \nx : int;\ny : int;\n  \nx <= 5;\ny = x + 3;\n  \ny > 0;\n  \n  assert (x >= 0 && y > 0);,Missing required SMT-LIB components (declare-const/fun and assert)
(set-logic QF_UF) (declare-const x 1) (assert (not (= x 0))) (check-sat),"To prove that x is not equal to 0, we can use the property of equality that if a = b then ¬a = ¬b.",SMT-LIB code here,Program too short
(set-logic QF_UF  define-const X 0  assert (<= X 5)  check-sat,This puzzle requires the solver to find a value for X such that it is less than or equal to 5.,(set-logic QF_UF\n\ndefine-const X 0\n\nassert (<= X 5)\n\ncheck-sat),Missing required SMT-LIB components (declare-const/fun and assert)
A farmer has a field that is 100 meters long and 50 meters wide. The field must be fenced in by a fence that is at least 2 meters high on all sides.,The farmer can use the following constraints to solve this problem:  - (declare-const field-width 50 :integer) - (declare-const field-length 100 :integer) - (assert (>= (add (multiply field-width 2) (add field-length 2)) (add field-width 2))),set-logic QF_UF\nset-logic quantifier\nint\nfence-field :field-width 50 :field-length 100 :height 2\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
The set-builder logic asserts that there exists an integer x such that x^2 + 4x - 3 = 0.,"\n\nThe given equation can be solved using the quadratic formula: x = (-b ± sqrt(b^2 - 4ac)) / 2a. In this case, a=1, b=4, and c=-3. \nThe solution to the equation is x = (-(4) ± sqrt((4)^2 - 4*1*(-3))) / (2*1), which simplifies to x = (-4 ± sqrt(16 + 12)) / 2, or x = (-4 ± sqrt(28)) / 2. Since sqrt(28) is not a perfect square, there are two solutions: x = (-4 + sqrt(28)) / 2 and x = (-4 - sqrt(28)) / 2. \nThe set-builder logic asserts that exactly one of these two solutions exists.",\n,Program too short
The Five Houses Problem,Use set-logic QF_UF and declare variables for each house number.  (declare-const house1-number 1) (declare-const house2-number 2) (declare-const house3-number 3) (declare-const house4-number 4) (declare-const house5-number 5),"\s*(set-logic\s+ QF_UF\s+)\s*\((declare-const\s+ [a-b-c-d-e]\s*\:\s*house1-number\s*,\s*house2-number\s*,\s*house3-number\s*,\s*house4-number\s*,\s*house5-number\s*)\s*\((assert\s*(\s*not\s*\(\s*equivalent\s*\(\s*not\s*\(\s*[a-b-c-d-e]\s*\)\s*,\s*house1-number\s*,\s*house2-number\s*,\s*house3-number\s*,\s*house4-number\s*,\s*house5-number\s*)\s*|\s*equivalent\s*(\s*not\s*\(\s*not\s*\(\s*[a-b-c-d-e]\s*\)\s*,\s*house1-number\s*,\s*house2-number\s*,\s*house3-number\s*,\s*house4-number\s*,\s*house5-number\s*)\s*,\s*check-sat\s*)\s*\)",Unbalanced parentheses
"Find an infinite set {x: [0, 1]}.",This problem can be solved using QF_UF.,"declare-const x : bool;\nassert (set-of x [0, 1]);\ncheck-sat;",Missing required SMT-LIB components (declare-const/fun and assert)
(set-logic QF_UF  (declare-const x 1)  (declare-const y 2),This problem is a simple example of using set-logic QF_UF to reason about the satisfiability of a given formula.,(require \n (qf uf)\n (sat)),Missing required SMT-LIB components (declare-const/fun and assert)
A farmer wants to ensure that all cows are wearing collars of a certain color.,"The farmer has ordered 100 cows, each with one collar. The collar can be either red or blue. Use QF_UF and QF_LIA constraints to prove that there is an assignment of colors to the collars such that all 100 cows are wearing their assigned colors.","set-logic QF_UF\ndeclare-const cow: int;\ndeclare-const collar: bool;\nassert cow = 1:\n  \n  assert collar(cow, true):\n    \n    assert collar(cow, false):\n      \n      check-sat",Missing required SMT-LIB components (declare-const/fun and assert)
The Flipped Coins,Use QF_UF with a set of variables and constraints to prove that it's impossible to flip all coins such that one side always shows the opposite number.,(set-logic QF_UF\n\ndefault solver\n	declare-const n 1;\n	declare-const x 0 1;\n	assert (x = ~n)\n	check-sat),Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,Prove that there exists an integer x such that exactly three switches are open.,set-logic QF_UF\n\ndeclare-const x : int;\nassert (x = 0)\nassert (x = 1)\nassert (x = 2)\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,Use QF_UF to prove that exactly one of three boolean variables can be false at any given time.,"\nset-logic QF_UF\n\nassert (var x)\nassert (var y)\nassert (var z):\n    \n    conj (\n        \n        disj (x = true) (y = false),\n        \n        disj (x = false) (y = true),\n        \n        disj (x = true) (z = false),\n        \n        disj (x = false) (z = true)\n    )",Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,Prove that it is impossible to assign colors to three switches such that each switch corresponds to one of three colors and the corresponding color switch is red.,\setlogic QF_UF\declare-const r1 bool\declare-const g1 bool\declare-const b1 bool\assert (r1 == false && g1 == true && b1 == false)\check-sat,Missing required SMT-LIB components (declare-const/fun and assert)
\(\{\n  x: \n    # Introduce a variable and constraint\n    assert(x > 0);\n  y: \n    # Introduce another variable and constraint\n    assert(y < x);\n  z: \n    # Use SMT-LIB to prove the variables are equal\n  (set-logic QF_UF \n    (declare-const x : int) \n    (declare-const y : int) \n    (declare-const z : bool))\n  \n  assert(z);\n  \n  (check-sat),"\(\{\n  # We use the fact that x > 0 and x + y = z to prove x == z\n  assert(x + y = z + x);\n  \n  # Since z is True, we can deduce x == z\n  assert(x == z);\n  \n  \n  # Use the assumption that x < 0 and x - y = z to prove x != z\n  assert(x > 0 && x - y = z);\n  \n  # Since z is False, we can deduce x != z\n  assert(x != z);\n  \n  \n  \n  (check-sat)","\(\{\n  # Import the SMT-LIB library\n  (require ""smtlib"")\n  \n  \n  # Define a set of constraints using QF_UF\n  (set-logic QF_UF)\n  \n  \n  # Define two variables and two constraints\n  (declare-const x : int) \n  (declare-const y : int) \n  (declare-const z : bool)\n  \n  \n  # Assert that the variables are non-negative\n  assert(x > 0);\n  \n  \n  # Assert that one variable is less than another\n  assert(y < x);\n  \n  \n  # Use SMT-LIB to prove that the variables are equal\n  (set-logic QF_UF \n    (declare-const x : int) \n    (declare-const y : int) \n    (declare-const z : bool))\n  \n  \n  # Assert that the third variable is true\n  assert(z);\n  \n  \n  # Check if the model is satisfiable\n  (check-sat)",Missing required SMT-LIB components (declare-const/fun and assert)
"A prisoner needs to escape from a cell with multiple locks, each of which has two possible keys: the correct key or the wrong key. The guards enter a room and check one lock at a time in order.","To solve this problem using QF_UF, we need to model the guards' behavior as a set of rules that specify when they should consider each lock as the correct key. We can use (set-logic QF_UF) to define this logic, and then add rules for checking each lock's key.",set-logic QF_UF\nassert (\n    (lock1 : (correct_key ? x) ? wrong_key ? y)\n    (lock2 : (correct_key ? z) ? wrong_key ? w)\n)\ndeclare-const correct_keys : bool.\nassert (not (correct_keys))\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
A woman has two coins that weigh differently. One coin weighs 1 kg and the other weighs 0.9 kg. How much does the lighter one weigh?,Use set-logic QF_UF and assert   (weigh < 1kg)  and (not (weigh = 0.9kg)),set-logic QF_UF\ndeclare-const kg1 : bool;\ndeclare-const kg2 : bool;\nassert (kg1 <= kg2)\n(weigh < kg1)\n(weigh > kg2),Missing required SMT-LIB components (declare-const/fun and assert)
Prove that there exists an integer x such that x^2 + 1 = 0 and x is not odd,"To prove this statement, we can use the QF_UF rule to generate a set of solutions for the equation x^2 + 1 = 0. We then check if any of these solutions are integers that satisfy the condition x is not odd.",set-logic QF_UF\ndeclare-const x : int\nassert (x^2 + 1 = 0)\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
"A farmer has two fields, A and B. Field A has 5 apples, and field B has 3 oranges. The farmer wants to know if there are any common fruits between the two fields.",The farmer can find the intersection of sets containing apples and oranges in both fields.,\n\n(set-logic QF_UF\n  \n  (set-var x : nat)\n  (declare-const A : set-of nat)\n  (declare-const B : set-of nat)\n  (assert (forall (a : nat) (forall (o : nat)) (\n    (and (in-sets a A) (in-sets b B) \n     (or (= a o) (= o a)))\n    \n    (in-set x a))\n  ))\n,Unbalanced parentheses
"A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. If the ball costs x dollars, how much does the bat cost?",Let b = number of cents in the ball. Then the equation is (100 - b) + b = 110. Solve for b.,"\smallsetofinputstitutions(\n  \n    setoflogicbutterfly(QF_UF, \n        declareconst( \n            BatCost: integer, \n            BallCost: integer, \n            \n        ), \n        \n        assert(BatCost > BallCost, \n           true), \n        \n        declareconst( \n            x:integer, \n            \n        ), \n        \n        assert(x * 100 = BatCost + BallCost, \n           true), \n        \n        check-sat)",Missing required SMT-LIB components (declare-const/fun and assert)
"A farmer has two fields, A and B. Field A is 3 units long, while field B is only 2 units long. The farmer wants to know if there are enough spaces on both fields.",The problem can be solved using the QF_UF rule with a conjunction of constraints representing the length of each field and its relationship with the number of rows.,declare-const A : int; declare-const B : int; (\nA > 0\nB < 3\nA + B >= 5)\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Satisfying a set of rules on the number of apples,Use QF_UF to generate constraints for the number of apples in each basket and then solve using check-sat.,"set-logic QF_UF\ndeclare-const total_apples = int;\nassert less-than-or-equal-to(total_apples, 5);\nassert greater-than-or-equal-to(0, total_apples);",Missing required SMT-LIB components (declare-const/fun and assert)
"A farmer has two fields: Field A and Field B. If it rains, both fields receive water, but only if it's not too hot.","let (   0:     assert (>= 20 any x) => (x = 'hot')   1:     assert (= 100 any y) => (y = 80)   2:     let (       z: set of string       f0: {x | x = 'hot', x < 20}       f1: {x | x = 'hot', x >= 20, x <= 30}       f2: {x | x = 'hot', x > 30})     assert (in z f0)     & (not in f1 f0)    & (in f2 f1)","\begin{set-logic QF_UF}\n\declare-const hot: bool;\n\declare-const wet: bool;\n\declare-const fieldA: set of string;\n\declare-const fieldB: set of string;\n\assert (>= 20 any x) => (x = 'hot')\n\assert (= 100 any y) => (y = 80)\n\let (\n    z: set of string\n    f0: {x | x = 'hot', x < 20}\n    f1: {x | x = 'hot', x >= 20, x <= 30}\n    f2: {x | x = 'hot', x > 30})\n\assert (in z f0) \n   & (not in f1 f0)\n   & (in f2 f1)\n\end{set-logic QF_UF}",Missing required SMT-LIB components (declare-const/fun and assert)
"Solve the following logic puzzle: P(x, y) implies Q(x, y).","Use the transitive property to derive Q(x, z) from Q(x, y) and Q(y, z)",(set-logic QF_UF)\n\n(declare-const P x : bool)\n(declare-const Q x y : bool)\n(assert (and (not (or P x True) (not (or Q x y))) (and P x False))))\n(check-sat),Unbalanced parentheses
"A farmer wants to irrigate all but two rows of his garden, and then water one row. What are the possible values for k?","To find the exact number of rows that will be irrigated, we need to use the set-logic QF_UF and check-sat constraints.",declare-const garden_rows : int; (set-logic QF_UF \n (declare-const k : bool))\n (assert (for-all (garden_rows >= 0) \n (and (not (or (= k true) (or (>= garden_rows 2) (<= garden_rows 5))) (not (= garden_rows 3))))))\n check-sat),Unbalanced parentheses
The Last Question,"Given a set of people and a set of positions, determine who will be sitting next to whom.",(set-logic QF_UF\n  (declare-const people (functor (Person)) (typeof person)\n  (declare-const pos (functor (Position)) (typeof position)))\n  (assert\n    (\n      for (for (people) (in range 1))\n        (\n          assert\n            (<= (get-attr people :id) (get-attr pos :x))\n            (>= (get-attr people :id) (get-attr pos :y)))\n        )\n    )\n  (check-sat),Unbalanced parentheses
"{   'problem': ""Solve the following puzzle: There are three switches, but they are not labelled. Each switch corresponds to one of three light bulbs in a room. Each bulb is either on or off. You can turn the switches on and off as many times as you want, but you can only enter the room one time to observe the bulbs. How can you figure out which switch corresponds to which light bulb?""",{   (set-logic QF_UF)   (declare-const bulb1 bool   bulb2 bool   bulb3 bool)   (declare-const switches [ bulb1 true    bulb2 false    bulb3 true ]   (assert not (switches[0]            or switches[1]            or switches[2]))   (check-sat),\u{4f}\u{49e2}\u{4f}\u{53}\u{54\u{51}\u{52}},Missing required SMT-LIB components (declare-const/fun and assert)
(set-logic QF_UF (declare-const x int) (declare-const y bool) (assert (>= x 0) (check-sat),"This is a simple problem that can be solved using basic arithmetic and logical constraints. The goal is to determine if the value of x is greater than or equal to 0, given that it is an integer.",(declare-const QF_UF\n(\n  (set-logic QF_UF\n)\n)\n(SMT-LIB code here),Missing required SMT-LIB components (declare-const/fun and assert)
(set-logic QF_UF   (declare-const x y int)   (assert x > 0)),"This is a simple logic puzzle where we are asked to prove that if x is greater than 0, then x is positive.",smt2\n  -file: test.smt\n  -model: unassumption\n  -format: latex,Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,"Use set-logic QF_UF and assert/declare/declare-const to model a problem where a person has three switches, labelled A, B and C, and each switch corresponds to one of three light bulbs in a room. The lights are initially off, and we can turn the lights on or off at most once per switch. We want to determine if it is possible to turn all the lights on with just two switch flips.","\n\nset-logic QF_UF\n\n\ndeclare-const A: bool \nA := false;\nA' := not A;\n\n\ndeclare-const B: bool \nB := false;\nB' := not B;\n\n\ndeclare-const C: bool \nC := false;\nC' := not C;\n\n\nassert all (A, A', B, B', C, C');\ncheck-sat;",Missing required SMT-LIB components (declare-const/fun and assert)
(set-logic QF_UF (declare-const x y 1)),(assert y = 1) && (check-sat),"#include <smt2.h>\n\nint main() {\n    int x, y;\n    assert(x == 1);\n    return 0;\n}",Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,"{'type': 'deductive', 'constraints': ['\n  assert (x = 0)\n', '\n  assert (y = 1)\n', '\n  assert (z = 2)\n']}",{\n  set-logic QF_UF\n  declare-const x int;\n  declare-const y int;\n  declare-const z int;\n  assert (x = 0);\n  assert (y = 1);\n  assert (z = 2);\n  check-sat;,Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,Use set-logic QF_UF and assert/unify to prove that there is no valid assignment of colors to switches such that each switch corresponds to either red or green.,\n\n%set-logic qf uf\n\n%declare-const R true\n\n%declare-const G true\n\n%assert (R = G)\n\n%check-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Satisfying the following system of linear equations with integer coefficients and constraints,"Use QF_LIA or QF_UF to generate the model, then solve it using a solver like DPLL or CDT.",\n\n%define-model\n\n\nint x_0 y_1 z_2 x_3 y_4 z_5\n\n%d: (x_0 == 0) \n& (x_1 + x_2 == 0);\n%d: (y_0 == 0) \n& (y_1 + y_2 == 0);\n%d: (z_3 == 0) \n& (z_4 + z_5 == 0)\n\n%d: (x_1 == x_3) \n& (x_2 == x_4);\n%d: (y_0 == y_4) \n& (y_1 == y_5);\n\n%define-solver dpll\n\n%d: assert (dpl(1));\n%d: check-sat;\n\nint main() {\n  init(\n    \n      %define-model\n\n      ...\n\n\n  );\n  return 0;\n},Missing required SMT-LIB components (declare-const/fun and assert)
"A farmer has a chicken and some wheat. If she gives away half of her chicken, what fraction of her wheat remains?","If the farmer has x chickens and y wheat, then after giving away c/2 chickens, the farmer has (x-c)/2 wheat left.",- (set-logic QF_UF)\n - (declare-const x int)\n - (declare-const y int)\n - (assert > x 0))\n - (assert < x + y <= 100)\n - (assert >= (x / 2) + (y / 2)))\n - (check-sat),Unbalanced parentheses
(set-logic QF_UF (declare-const x 1 #t) (declare-const y 2 #f) (assert (x = true) (y = false))),to prove that x and not y are both true or both false using only basic arithmetic operations and equality checks,"\begin{RMF}\use_justification(2,10);\set_justification(1.5,0.5);\declare_justification(0.5,0.2);\declare_justification(1.25,0.8);\declare_justification(2.5,1.4);\begin{ratios}\  (ratios ((= x true) (x false)) \   (= y true) (y false));\end{ratios};\end{RMF}",Missing required SMT-LIB components (declare-const/fun and assert)
The set of all perfect numbers,"This is a classic problem in number theory, and it can be solved using QF_UF with constraints such as (forall x (<= 1000) (odd? x))","\begin{quote}\nset-logic QF_UF\n\ndeclare-const MAXN : int;\nfor \(i \in [1,MAXN] \) \n  declare-const isPerfect i : bool;\n\nassert (isPerfect 0);\n\ncheck-sat\n\nend\quote",Missing required SMT-LIB components (declare-const/fun and assert)
"Solve the puzzle: 5 cars are parked on the street, and each car has a different color. If we add 2 more cars with the same color, can you find the color of all 7 cars?",Use mod 3 to solve this problem by assuming that the total number of cars is divisible by 3.,\n\n(\n  \n    (\n      set-logic QF_UF \n      \n      (\n        declare-const C color: integer \n        \n        assert (\n          not (\n            or \n              (\n                set-param-assert (\n                  'C (0) = 0) \n                ) and \n                (\n                  set-param-assert (\n                    'C (1) = 1) \n                ) and \n                (\n                  set-param-assert (\n                    'C (2) = 2) \n                )) \n            ) \n          ) and \n          (\n            set-param-assert (\n              'total_cars = 5 + 2) \n            ) \n      ) \n      \n      (\n        declare-const c1 color: integer \n        \n        declare-const c2 color: integer \n        \n        assert (\n          (\n            set-param-assert (\n              'c1 = C (0)) \n            ) and \n            (\n              set-param-assert (\n                'c2 = C (0)) \n            ) and \n            (\n              set-param-assert (\n                'total_cars = 7) \n            ) \n          ) \n        ) \n      ) \n    ) \n  \n),Missing required SMT-LIB components (declare-const/fun and assert)
A farmer has a field with two rows and two columns. Each cell in the field can be either red or green. The farmer wants to know if it is possible to reach every cell from one corner to the other using only right and up moves.,This problem is a classic example of a constraint satisfaction problem (CSP) that can be solved using QF_UF and QF_LIA solvers in SMT-LIB. We need to find all possible valid paths from the top-left corner to the bottom-right corner while respecting the constraints.,\(set-logic QF_UF\n\(declare-const row1 int\n  row2 int\n  col1 int\n  col2 int\n  cell1 bool\n  cell2 bool\n  x1 int\n  y1 int\n  x2 int\n  y2 int\n  path list of (pair int int)\n  sats boolean)\n\(assert row1 = 0 && col1 = 0\n  assert row2 > 0 && col2 > 0\n  assert cell1 == false && cell2 == false\n  check-sat\n  path \),Unbalanced parentheses
Satisfy the following proposition: 2 + 2 = true.,This can be proved using the QF_UF rule and simple arithmetic constraints.,\( \set-logic QF_UF \n\n  \set-variables \( x: integer \) \n\n  \begin{align*} \x + x & = true \x & = true \end{align*},Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,Use a model with three variables and two constraints to solve this puzzle.,(set-logic QF_UF)\n(define-variable x)\n(define-variable y)\n(define-constraint (<= 0  x (+ y)))\n(assert (not (= x 0)));\n(assert (not (= y 0)))\n(check-sat),Missing required SMT-LIB components (declare-const/fun and assert)
"Given integers a and b, find all pairs of distinct positive integers c and d such that a + b = c + d",Prove the validity of the following system using QF_UF or QF_LIA with integer constraints: (set-logic QF_UF)   (declare-const a Int)   (declare-const b Int)   (declare-const c Int)   (declare-const d Int)   (assert (a + b = c + d))   (check-sat),smt2 -v --out-of console/validity.smt2,Missing required SMT-LIB components (declare-const/fun and assert)
Prove that the following statement is true: x = 5 and y != 3,"Use the QF_UF rule to combine the assertions of x = 5 and y != 3, then use the QF_LIA rule to prove the conjunction of these two statements. Finally, add a check-sat clause to verify that the system is satisfiable.",(set-logic QF_UF\n  (declare-const x Int)\n  (declare-const y Int)\n  assert (x = 5)\n  assert (y != 3)\n  check-sat),Missing required SMT-LIB components (declare-const/fun and assert)
"Solve the following puzzle: A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. If the ball costs x dollars, how much does the bat cost? y.",$y-x=0.10\quad$y>x$,\left( \setlogic QF_UF \right)\left( \declare-const x real > 0 \declare-const y real > 0 \assert y - x = 0.1\n\assert y > x\n\setofy <= 10\n\let b = $x + 1\let a = $b - 1 \check-sat\n,Missing required SMT-LIB components (declare-const/fun and assert)
"A 5-person committee must be formed from a group of 8 people, and each person can only speak on one topic.",Use set-logic QF_UF to ensure that each member speaks only once and use   for newlines inside the SMT string.,\n(\n  \n    (set-logic QF_UF)\n  \n    (declare-const P: Person (\n      (name \n      (int))\n    )\n  \n    (declare-const C: Committee (\n      (members \n      (list-of Person)))\n    )\n  \n    (assert \n      (forall x ((x : P) -> \n        (forall y ((y : P) -> (C : x = C ? y))))))\n,Unbalanced parentheses
The Five Houses Puzzle,Use QF_UF to express that each house is occupied by either a person or an animal.,\(set-logic QF_UF\) \n\(declare-const H1 House_1 \n H2 House_2 \n H3 House_3 \n H4 House_4 \n H5 House_5 \n\nassert (H1 = H2) \n assert (H1 = H3) \n assert (H2 = H4) \n assert (H3 = H5) \n check-sat,Missing required SMT-LIB components (declare-const/fun and assert)
"A farmer has N cows to milk. The first cow can be milked at most once per day, and each cow takes at least one hour to milk. If the farmer starts with an empty fridge, how many days will they need to milk all their cows?","To solve this problem, we can use the QF_UF logic, which allows us to represent the constraints as a set of clauses with atomic propositions representing the number of cows and hours spent milking. We can then use the 'check-sat' solver to find an optimal solution.",set-logic QF_UF\ndeclare-const N : int > 0;\nassert (N >= 1)\nassert (N <= 10);\nassert (let x = < N > 2):\n  declare-const hours : bool > 2;\n  for (int i = 3; i <= N; i++) {\n    assert (hours[i] = true);\n  }\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,(set-logic QF_UF) (declare-const x 1) (assert (x = 0)) (check-sat),\n\n\n\n\n(\nfix y 3\n(fix z 2\n(if y > 0 \n  fix x 1 \n elif y = 0 \n   fix x 2 \n else \n   fix x 3)\n);,Missing required SMT-LIB components (declare-const/fun and assert)
"A farmer has two fields, A and B. Field A contains all the apples from both fields combined. If field C contains only apples that are red, then field D must contain at least half of field A's apple count.","Use QF_UF and QF_LIA to solve this problem. Consider the constraints (set-logic QF_UF) and (declare-const ...). Use assert statements to define field A and field B. Assume all apples are either red or not red for field C, then use modularity on field D.","\s*(\w+)\s*:\s*set-logic\s+QF_UF\n\s*declare-const\s+A: boolean\s*A:\s*assert\s*A\s*,\s*B: boolean\s*B:\s*assert\s*B\n\s*check-sat\n",Missing required SMT-LIB components (declare-const/fun and assert)
A farmer has 5 sheep and wants to build a fence around them. The fence must be at least 3 meters long and can have a maximum of 10 meters in the middle.,Use QF_UF constraints to ensure that the fence can accommodate all the sheep while leaving some buffer space on each side.,(set-logic QF_UF)\n\n(declare-const S 1 (int)\n  (A 3 10)\n  (B 2 10)\n  (C 4 7)),Missing required SMT-LIB components (declare-const/fun and assert)
A farmer has 'm' chickens and wants to know if they are all happy.,The answer is yes if and only if m = 5 or m = 6,\n\n\n\n\n%set-logic QF_UF\n%declare-const m int\n\n%assert (m <= 10)\n\n%check-sat,Missing required SMT-LIB components (declare-const/fun and assert)
The Life of Pi,"Use QF_UF and assert constraints on pi, x, and y.",\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n,Missing required SMT-LIB components (declare-const/fun and assert)
"A farmer has three fields: A, B and C. Field A has 4 rows and 5 columns, field B has 3 rows and 6 columns and field C has 2 rows and 8 columns. The farmer wants to know how many hot peppers are in each field.","The total number of hot peppers in all fields is equal to the sum of the products of the number of rows and columns in each field, multiplied by a constant (1).",\n\ndeclare-const A_rows : int;\nA_cols : int;\ndeclare-const B_rows : int;\nB_cols : int;\ndeclare-const C_rows : int;\ndeclare-const C_cols : int;\nassert (\n  A_rows * A_cols + B_rows * B_cols + C_rows * C_cols =\n    4 * 5 + 3 * 6 + 2 * 8);\ncheck-sat;,Missing required SMT-LIB components (declare-const/fun and assert)
"\(\(\{1:2, 3:4} \) -> (false))",(set-logic QF_UF) (declare-const X int) (assert (X = 1) (check-sat),"smt2\n-\(\(\{1:2, 3:4} \) -> (false))",Missing required SMT-LIB components (declare-const/fun and assert)
(set-logic QF_UF) (declare-const x 1  # t) (assert (<= 0 (and x 2) (add 3 x))) (check-sat),"Using the <a href=""https://www.sat.inf.u-bremen.de/"">SAT solver</a> to verify the satisfiability of the given formula. We found that it is unsatisfiable for all values of x.",smtplib,Program too short
The Three Switches,(set-logic QF_UF 	(declare-const x 1) 	(declare-const y 2) 	(assert (not (= x 0))) 	(check-sat),declare-constant zero 0;\ndeclare-constant one 1;\nassert (not (= x 0));\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,QF_UF and set-logic QF_LIA,"\begin{utils} \begin{setoforeach\label{x}\forall i (i <= 3) \begin{cases}\    \end{cases}\end{setoforeach}\begin{declare-const}s1 real\s2 real\s3 real\s4 boolean\s5 boolean\s6 boolean\s7 integer\s8 integer\s9 integer\s10 int\s11 bool\s12 int\s13 int\s14 int\s15 bool\\nassert (x = 0); \nfor i in [1,2,3] {\n    s1 <= x; \n    s2 <= x; \n    s3 <= x;\n    assert (i == j);\n}\ncheck-sat;\nend{utils}",Missing required SMT-LIB components (declare-const/fun and assert)
"A farmer has 5 rows of flowers in her garden, and each row can have at most 3 flowers. The number of flowers in each row must be an integer between 0 and 4 (inclusive).",The number of flowers is a valid integer.,set-logic QF_UF\ndeclare-const rows : int[]\nassert (for-all i:\n    for-all j:\n        assert (rows[i] <= 3 && rows[j] > 0)\n),Missing required SMT-LIB components (declare-const/fun and assert)
Satisfying a simple equation,"Use “<~{ to enforce an inequality, and ”<~~ to enforce equality.",\u2220©\u003c<~\u007b (x \u0024 y) <= 10;\u003e <~\u007e (x + y = 5),Missing required SMT-LIB components (declare-const/fun and assert)
Satisfying the Chicken McNugget Theorem,The Chicken McNugget Theorem states that the sum of two relatively prime numbers has a unique representation as a linear combination of those two numbers. Prove this theorem using QF_UF and SMT-LIB.,\s*(set-logic\s+QF_UF\s+(declare-const\s+a:integer\s*\geq0\s*and\s*1=<=a\s*and\s*a+b:integer\leq2\s*and\s*not(\s*(|a-b|:mod a*b))\s*and\s*(check-sat\s*with\s+a\s+b\s*only\s*1)\s*)\s*\n+\s*(declare-const\s*e:integer\s*range0\s*to2\s*\n+\s*(assert\s*(a+b=e))\n+\s*(check-sat\s*with\s+a\s+b\s*e\s*only\s*1),Unbalanced parentheses
The Three Switches,Use a switch statement to determine which color shirt to wear based on the day of the week.,"\begin{prog}{\nset-logic QF_UF\ndeclare-const Day int;\ndeclare-const Weekday int;\nassert \'(Day == Monday) or (Day == Tuesday) or (Day == Wednesday) or (Day == Thursday) or (Day == Friday);\ncheck-sat\nforall D W\n  \'(D in [Monday, Tuesday, Wednesday, Thursday, Friday] and W = Day(D))\n  \'\n  \'(W in [Saturday, Sunday]);\n}\n",Missing required SMT-LIB components (declare-const/fun and assert)
