problem,reasoning,program
"Given a person A with age 25 and friend B, prove that if A's friends are all friends of C then A is friends of B.",(declare-const A Person (0: 1) (declare-const B Person (0: 1) (declare-const C Person (0: 1))  (   (            (forall x (Person (x)) (         (set-of y (Set-of-z) z)))        ) )  (   (assert (or (A= B) (All-of-A-Friend-Of-B-C A C)))),(set-logic QF_UF) (declare-const A_friend_B Bool) (declare-const B_friend_A Bool) (assert (= A_friend_B B_friend_A)) (assert (= A_friend_B true)) (check-sat)
Social Network Problem: Find all pairs of friends,Use QF_UF to model friendships and SAT to solve the problem exactly,(set-logic QF_UF) (declare-const of Bool) (assert (= of true)) (check-sat)
"Prove that if person1 is friends with person2 and person3, then person4 is not friends with person5.","{'method': 'existential', 'variables': ['person1', 'person2', 'person3', 'person4', 'person5'], 'constraints': ['(set-logic QF_UF)\n\n', '(declare-const person1 person1)\n', '(declare-const person2 person2)\n', '(declare-const person3 person3)\n', '(assert (person1 <> person2))\n', '(assert (person1 <> person3))\n', '(assert (not (person4 <>) (person5 <)))']}",(set-logic QF_UF) (declare-const if_friend_is Bool) (declare-const is_friend_if Bool) (assert (= if_friend_is is_friend_if)) (assert (= if_friend_is false)) (check-sat)
The relationship 'John Doe' and 'Jane Smith' are friends.,"To verify this statement, we can use the QF_UF (Universal Forcing) logic with a set of constraints involving relationships between individuals. We will also utilize the assert clause to enforce the validity of the given statements.",(set-logic QF_UF) (declare-const X_friend_Y Bool) (declare-const Y_friend_X Bool) (assert (= X_friend_Y Y_friend_X)) (assert (= X_friend_Y true)) (check-sat)
The given social network of friends has exactly 5 people.,"A person can only be friends with themselves, and no one is friends with each other if their number of friends is odd. This means that the total number of pairs of friends should equal half of 15 (the total number of people).",(set-logic QF_UF) (declare-const of Bool) (assert (= of true)) (check-sat)
Prove that there exists an integer x such that x + 1 = 2x,Use the QF_UF and QF_LIA rules to derive the desired consequence.,(set-logic QF_LIA) (declare-const an Int) (assert (= an 1)) (check-sat)
"Prove that there are no cycles in the graph G = ({a, b, c}, R), where R is an undirected relation and 'a' and 'b' are related to each other, but not both.","Use QF_UF and set-logic to reason about the satisfiability of this graph. Assume X = {a, b} such that X ⊆ G. Prove by contradiction that there exists a path from a to c in G if and only if for all y ∈ X, (y, x) ∈ R.",(set-logic QF_LIA) (declare-const G Int) (assert (= G 5)) (check-sat)
Pigeonhole Principle,"Given n pigeons and m pigeonholes, show that at least one pigeonhole must contain more than one pigeon.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Verify that a social constraint involving two individuals and their relationships holds true,{'method': 'existential quantification'},(set-logic QF_UF) (declare-const a Bool) (assert (= a true)) (check-sat)
Prove that all employees in the company are working,"Using set-logic QF_UF and QF_LIA, derive the following implications: (set-of-people employee1 ... employee5) => (work(employee1, employee2), work(employee3, employee4), work(employee5, employee6))",(set-logic QF_LIA) (declare-const in Int) (assert (and (>= in 0) (<= in 10))) (check-sat)
Prove that John and Mary are married,(set-logic QF_UF) (declare-const John mary : bool) (assert (== John mary)) (check-sat),(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"Prove that if person1 is friends with person2, and person2 is friends with person3, then person1 is friends with person3.",Use the transitive property of friendship to prove this implication.,(set-logic QF_UF) (declare-const if_friend_is Bool) (declare-const is_friend_if Bool) (assert (= if_friend_is is_friend_if)) (assert (= if_friend_is true)) (check-sat)
Prove that a person is either in their hometown or not.,This can be represented as a disjunction of two constraints: (set-of-variables-person home-town) and (not-set-of-variables-person elsewhere).,(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
Find all pairs of people in a social network where one person is friends with another.,Use QF_UF to model friendship relationships and check-sat to solve the problem,(set-logic QF_UF) (declare-const a_friend_in Bool) (declare-const in_friend_a Bool) (assert (= a_friend_in in_friend_a)) (assert (= a_friend_in false)) (check-sat)
Prove that any person is either a student or an employee of the same company.,{   (set-logic QF_UF)   (declare-const C (Symbol('Company'))   (declare-const S (Symbol('Student'))   (declare-const E (Symbol('Employee'))   (assert (not (or (= C S) (= C E))))   (assert (not (and (= S C) (= E C)))   (assert (not (or (= S E) (= C E)))))   (check-sat) },(set-logic QF_LIA) (declare-const a Int) (assert (= a 5)) (check-sat)
Prove that a person is either married to their spouse or not married at all,"Use QF_UF and assert variables for marriage status, then check-sat",(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
Prove that John and Mary have different favorite sports.,"Use QF_UF with (set-logic QF_UF) to express the relationship between two individuals. Then, use (assert ...) to assert a specific property about their preferences. Finally, check-sat to prove this property holds true.",(set-logic QF_LIA) (declare-const X Int) (declare-const Y Int) (assert (and (>= X 0) (<= X 10))) (assert (and (>= Y 0) (<= Y 10))) (assert (distinct X Y)) (check-sat)
Prove that John and Alice are friends.,(john = alice) -> (friend john alicia),(set-logic QF_UF) (declare-const X_friend_Y Bool) (declare-const Y_friend_X Bool) (assert (= X_friend_Y Y_friend_X)) (assert (= X_friend_Y true)) (check-sat)
Find all pairs of people who have never met,"Use QF_UF and QL_NAT to model social relationships, then use the   check-sat clause to solve the system.",(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 0) (<= of 10))) (check-sat)
A university has two social constraints regarding friendships between students.,These constraints can be represented using QF_UF and QF_LIA axioms.,(set-logic QF_UF) (declare-const A Bool) (assert (= A true)) (check-sat)
Prove that a person is either in the US or has a valid US driver's license.,Use QF_LIA and assert that the person is in the US or their driver's license is valid.,(set-logic QF_LIA) (declare-const US Int) (assert (and (>= US 0) (<= US 10))) (check-sat)
Prove that a person is either married or single.,"To prove this, we can use QF_UF (Unifiable Foreach) to check if there exists an assignment of integers 0 and 1 where each variable appears exactly once in the formulas. If such an assignment exists, then both 'married' and 'single' are satisfied.",(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
The set of all even numbers,"To prove that every positive even integer is either divisible by 2 or has at least one factor of 3, we can use the following rules: (set-logic QF_UF) (declare-const P PosInt) (assert (forall (x PosInt) (even x)) (or (= (div x 2) 0) (= x 0))) (declare-const F PosInt) (assert (for-all (x PosInt) (not (and (= x 0) (= F x)))) (declare-const Z PosInt) (assert (forall (x PosInt) (or (= x P) (= x Z))))",(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 0) (<= of 10))) (check-sat)
Prove that every person has at least one friend,Use QF_LIA and QF_UF to model the friendship relationship between people,(set-logic QF_UF) (declare-const at_friend_has Bool) (declare-const has_friend_at Bool) (assert (= at_friend_has has_friend_at)) (assert (= at_friend_has true)) (check-sat)
Satisfies QF_UF rule with a valid JSON payload,"{'solver': 'CPVEX', 'input': '{""solution"": ""1"", ""constraints"": [""x + y = 2""]}', 'expected_solution': '[0, 3]'}",(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
"The social network has a relationship between John and Alice, but they are not friends.","{'constraints': ['(set-logic QF_UF)\n', '(declare-const person1 person2)\n', '(assert (not (person1 = person2)))\n', '(check-sat)']}",(set-logic QF_UF) (declare-const a Bool) (assert (= a false)) (check-sat)
The relationship 'Alice is a friend of Bob' must be satisfied.,"This can be achieved using QF_UF with two variables x and y, where x represents Alice and y represents Bob, and asserting that x == y.",(set-logic QF_UF) (declare-const a_friend_be Bool) (declare-const be_friend_a Bool) (assert (= a_friend_be be_friend_a)) (assert (= a_friend_be true)) (check-sat)
The relationship between person A and person B is that they are friends.,This can be expressed as (set-logic QF_UF)      (declare-const personA personA   declare-const personB personB   assert (personA == personB))   (assert (not (personA != personB))),(set-logic QF_UF) (declare-const A_friend_B Bool) (declare-const B_friend_A Bool) (assert (= A_friend_B B_friend_A)) (assert (= A_friend_B true)) (check-sat)
\(set-of\(\{x| x #= 1\} \) && \(set-of\(\{y| y #!= 2 && !x || y #<= 3\} \))\),\(declare-const x 1; \(declare-const y 2; \(assert (xor (and (not (eq x 1) (neq x 2)) (not (eq x 1) (lt x 3))) (and (neq x 1) (gt x 3)));\),(set-logic QF_LIA) (declare-const of Int) (assert (= of 1)) (check-sat)
Prove that there exists an integer x such that 2*x + 3 >= 5 and x^2 <= 4,Use QF_UF to model the system of linear inequalities: 2x + 3 >= 5 --> 2x >= 2 --> x >= 1; x^2 <= 4 --> x <= -2,(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
"Prove that for all integers x and y, if x > y then x + y = 2y","Using QF_UF with the set of integers and the implication rule, derive the following:   (declare-const x Int) (declare-const y Int) (assert (x > y)) (check-sat)",(set-logic QF_LIA) (declare-const if Int) (assert (= if 5)) (check-sat)
"{'solver': 'QF_UB', 'reasoning': '(set-logic QF_LIA (declare-const x 0: INTEGER) (assert (>= x 1)) (check-sat))'}",(assert (>= 2 3)) (check-sat),(set-logic QF_LIA) (declare-const x Int) (assert (= x 0)) (check-sat)
"Prove that if Alice and Bob are friends, then Carol is also friends with both of them.",(set-logic QF_UF)                (declare-const alice friend bob)     (assert (not (friend bob alice)))     (declare-const carol friend alicebob)     (assert (and (friend alicebob carol) (friend alice carol))),(set-logic QF_UF) (declare-const if_friend_is Bool) (declare-const is_friend_if Bool) (assert (= if_friend_is is_friend_if)) (assert (= if_friend_is true)) (check-sat)
Prove that there are no friends among five people.,"To prove this, we can use QF_LIA and assert that each person is either friend with themselves or not.",(set-logic QF_UF) (declare-const no Bool) (assert (= no true)) (check-sat)
A person is either married to their spouse or in a consensual relationship with someone else.,This property can be expressed using QF_UF (Unions of First-Order) and constraints such as <person> marry <other_person>,(set-logic QF_UF) (declare-const A_friend_a Bool) (declare-const a_friend_A Bool) (assert (= A_friend_a a_friend_A)) (assert (= A_friend_a true)) (check-sat)
Verify that there are no social connections between all individuals in a network of 10 people with no mutual friends,"Use QF_UF to model the relationship as a graph, and then use QF_LIA to check if the graph is acyclic. If it is not, then there must be some cycle of edges, meaning that someone is connected to everyone else, which means they have mutual friends.",(set-logic QF_UF) (declare-const a_friend_in Bool) (declare-const in_friend_a Bool) (declare-const a_friend_no Bool) (declare-const no_friend_a Bool) (declare-const in_friend_no Bool) (declare-const no_friend_in Bool) (assert (= a_friend_in in_friend_a)) (assert (= a_friend_no no_friend_a)) (assert (= in_friend_no no_friend_in)) (assert (and a_friend_in in_friend_no)) (check-sat)
(set-logic QF_UF (declare-const x y z (integer :pred <)) (assert (not (= x 5))) (check-sat),(check-sat),(set-logic QF_LIA) (declare-const x Int) (assert (= x 5)) (check-sat)
"Prove that there exist distinct integers x, y such that x + y = 3 and x ≠ y","Using QF_UF and the constraints x + y = 3 and x ≠ y, derive a contradiction if neither x nor y is equal to zero.",(set-logic QF_LIA) (declare-const x Int) (assert (= x 3)) (check-sat)
"Prove that a person who has friends with people they know personally and strangers, but does not have acquaintances outside of their social circle, cannot be a friend to any one specific stranger.",Use QF_UF or QF_LIA with the following constraints: (set-logic QF_UF) (declare-const person1 <person1> (friend-of-person1 person2 (friend-of-person1 person3) ... (not acquaintances person4 person5))) (assert (for-all x (forall y (not friend-of-person1 y x))) (not (in-a-social-circle x))),(set-logic QF_UF) (declare-const a_friend_be Bool) (declare-const be_friend_a Bool) (assert (= a_friend_be be_friend_a)) (assert (= a_friend_be false)) (check-sat)
Social Network Problem,"The following friendship relationships hold: (Alice, Bob), (Bob, Charlie), (Charlie, Alice). Find the maximum number of friends each person can have.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"Given two people A and B, where person A is related to person B by marriage if A's age is greater than B's age.",Use QF_UF or QF_LIA with set-logic to express the relationship between ages of individuals for any positive integers n and m (where n <= m).,(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
"Prove that if person A has degree 3 and person B has degree 4, then person A's age is greater than or equal to person B's age",This implication can be proved using QF_UF or QF_LIA.,(set-logic QF_LIA) (declare-const A Int) (assert (= A 3)) (check-sat)
Prove that there exists an integer x such that x^2 = 5 and x^4 + 2x^2 - 1,Use QF_UF to reason about the existence of a solution and then use QLIA to solve for x.,(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
Prove that two people are acquaintances if they have met at least once,(set-logic QF_UF) (declare-const person1 :: int) (declare-const person2 :: int) (assert (person1 = person2)) (check-sat),(set-logic QF_LIA) (declare-const at Int) (assert (and (>= at 0) (<= at 10))) (check-sat)
"Given the social network of individuals with attributes 'name' and 'relationship_type', find the maximum number of people who are directly related to each other.","This can be solved using QF_UF or QF_LIA, where we express a relationship between two individuals as an equivalence relation. We then use the fact that the size of an equivalence relation is equal to the number of pairs of distinct elements in the set. This allows us to compute the maximum number of people who are directly related to each other.",(set-logic QF_UF) (declare-const of_friend_to Bool) (declare-const to_friend_of Bool) (assert (= of_friend_to to_friend_of)) (assert (= of_friend_to true)) (check-sat)
Prove that there exists an integer x such that x + 1 = 2 * x,Use QF_UF and set-logic to prove the statement,(set-logic QF_LIA) (declare-const an Int) (assert (= an 1)) (check-sat)
Prove that a person can go to exactly two different cities if they travel between cities in different countries.,"Using the QF_UF model with a set of cities and countries, prove that the person's travel history is consistent.",(set-logic QF_LIA) (declare-const a Int) (declare-const can Int) (assert (and (>= a 0) (<= a 10))) (assert (and (>= can 0) (<= can 10))) (assert (distinct a can)) (check-sat)
Prove that a person is either married or single.,(set-of-values x:Person; (set-of-assertions x:-single | x:-married)),(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
The relationship between Alice and Bob is that they are friends if their IDs match.,This can be expressed using QF_UF with a set of constraints on the identities of individuals.,(set-logic QF_UF) (declare-const if_friend_is Bool) (declare-const is_friend_if Bool) (assert (= if_friend_is is_friend_if)) (assert (= if_friend_is true)) (check-sat)
Use QF_LIA to express the relationship between friends and their relationships with others.,Use QF_UF with a set of 'not' constraints to express the relationship between individuals.,(set-logic QF_UF) (declare-const to Bool) (assert (= to true)) (check-sat)
"Find all triples (a, b, c) where a has degree 2 in graph G and b is adjacent to both a and c",Use QF_LIA constraints to enforce the properties of the relationships.,(set-logic QF_LIA) (declare-const G Int) (assert (and (>= G 2) (<= G 12))) (check-sat)
Find all pairs of distinct people in a university with exactly one common friend.,Use QF_UF to model this relationship and QLIA to restrict the number of friends each person can have.,(set-logic QF_UF) (declare-const a_friend_in Bool) (declare-const in_friend_a Bool) (assert (= a_friend_in in_friend_a)) (assert (= a_friend_in true)) (check-sat)
The set of all prime numbers less than or equal to 100,{(set-logic QF_UF) {(declare-const P UU)   assert (forall (x UU) ( eg ((xor x P) (xor P x)))),(set-logic QF_LIA) (declare-const of Int) (assert (= of 100)) (check-sat)
The given social relationship is valid.,Use QF_UF and set-logic QF_UF to ensure validity of constraints.,(set-logic QF_UF) (declare-const is Bool) (assert (= is true)) (check-sat)
Prove that every person is related to themselves.,"Use QF_UF to assert that each person is connected to at least one other person, and then use QF_LIA to conclude that there are no cycles in the graph.",(set-logic QF_LIA) (declare-const is Int) (assert (and (>= is 0) (<= is 10))) (check-sat)
Prove that there exists an integer x such that x^2 + 1 = 0,Use QF_UF and set-logic to reason about the existence of solutions to this equation.,(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
"Prove that if person A is friends with person B, and person B is friends with person C, then person A is friends with person C","Use QF_UF and QF_LIA constraints to derive the desired implication. Use the following assumptions: (A,B) and (B,C), and (C,A).",(set-logic QF_UF) (declare-const A_friend_B Bool) (declare-const B_friend_A Bool) (assert (= A_friend_B B_friend_A)) (assert (= A_friend_B true)) (check-sat)
"Prove that for all integers n >= 5, n^2 + n - 13 > 0",The following statements are true:  - set-logic QF_UF - set-logic QF_LIA - declare-const n_ int - declare-variable x int - assert (x = 5) - assert (x^2 + x - 13 > 0),(set-logic QF_LIA) (declare-const n Int) (assert (= n 5)) (check-sat)
Prove that there exists an integer x such that x^2 + 1 = 4x and 2x > 0,"Using QF_UF with the set of variables {x} and the constraints from the problem statement, we can derive the following expression: 2 * (x^2 - 4) = 0. Solving for x, we get x = ±√16. Therefore, there exists an integer solution to the equation.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
"The friends of Alice are married, but Bob is not","To ensure this is true, we need to assert that (set-of-people x y) != (set-of-people x z)",(set-logic QF_UF) (declare-const is_friend_of Bool) (declare-const of_friend_is Bool) (assert (= is_friend_of of_friend_is)) (assert (= is_friend_of false)) (check-sat)
Prove that there exists an integer x such that x^2 + 4x - 3 = 0,"To prove this equation has a solution, we can use the fact that it is a quadratic equation with two roots. We can also use the method of completing the square to simplify the equation.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
Prove that a person is not a friend of themselves,"Use   to separate the reasoning into two parts: first, prove that an individual is friends with another if they have at least one movie in common, and second, prove the converse",(set-logic QF_UF) (declare-const a_friend_is Bool) (declare-const is_friend_a Bool) (assert (= a_friend_is is_friend_a)) (assert (= a_friend_is false)) (check-sat)
Prove that there exists an integer x such that 2*x + 3 >= 0,"To prove this, we can use the QF_UF logic with 2*u + 3 <= -u for u >= 0. This is because for any non-negative integer u, 2*u + 3 will always be greater than or equal to 1, satisfying the condition.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
"The following social constraint is invalid: \nIt states that Alice and Bob are friends when they do not have a mutual friend, which is a contradiction.","\nTo resolve this conflict, we can add constraints to ensure that if Alice is friends with X, then X must also be friends with Alice. This can be achieved using the following QF_UF clause: (\n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n)",(set-logic QF_UF) (declare-const a_friend_do Bool) (declare-const do_friend_a Bool) (assert (= a_friend_do do_friend_a)) (assert (= a_friend_do false)) (check-sat)
"Prove that there does not exist an ordered pair of integers (x, y) such that x = 2 and y = 4",This statement can be proven using the QF_UF rule and the fact that x cannot be both even and odd.,(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
Prove that there exists an integer x such that x + 1 = 2*x,"\begin{align*} (\exists x (\forall y (y < x \ 2*y == x+y))) &
ightarrow ((\exists z (z >= 0 \ z != -1)))) \end{align*}",(set-logic QF_LIA) (declare-const an Int) (assert (= an 1)) (check-sat)
Satisfying the social constraint: No two people in the same group.,Use QF_UF or QF_LIA to ensure that each person is in a unique set of groups.,(set-logic QF_LIA) (declare-const No Int) (assert (= No 5)) (check-sat)
Prove that there exists an integer x such that x^2 + 4 = 13,"Using QF_LIA, we can define the function f(x) = x^2 - 9 and check if it is satisfiable. If not, then we can conclude that there does not exist a solution for x.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
Prove that there exists an integer x such that 2x + 1 > 0,"To prove this, we can use the QF_LIA solver with the following constraints: (set-logic QF_UF) (declare-const x Int) (assert (>= 0 (1 + 2 * x)))",(set-logic QF_LIA) (declare-const an Int) (declare-const x Int) (assert (and (>= an 0) (<= an 10))) (assert (and (>= x 0) (<= x 10))) (assert (= (+ an x) 1)) (check-sat)
A university has two classes: History and English.,The class that starts later must be the one with more students,(set-logic QF_LIA) (declare-const A_slot Int) (assert (and (>= A_slot 1) (<= A_slot 3))) (check-sat)
"Prove that if Alice and Bob both have a pet cat, then they are friends.","\begin{qf uf} \setof(x:person) (x ~ x.pet.cat) & (x ~ y.pet.cat) \declare-relation(p,q:friend)(p.y ~ q.y) \check-sat",(set-logic QF_UF) (declare-const a_friend_if Bool) (declare-const if_friend_a Bool) (assert (= a_friend_if if_friend_a)) (assert (= a_friend_if true)) (check-sat)
PREDicates and Atomic Variables: Prove that there exists an integer x such that x^2 = 0,"The solution to this problem can be proven using QF_UF, given the constraints (set-logic QF_UF) and (declare-const x :: int). The key insight is to recognize that if there does not exist an integer x such that x^2 = 0, then we must have a contradiction. This would mean that either x or x+1 cannot be zero, which implies that x is not an integer, leading to a contradiction.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
